"Client_ID","rf_pred"
"A2","0"
"A3","0"
"A4","1"
"A5","1"
"A6","0"
"A8","0"
"A9","0"
"A11","1"
"A12","0"
"A13","0"
"A15","0"
"A16","0"
"A17","1"
"A18","0"
"A19","1"
"A21","1"
"A22","1"
"A24","0"
"A27","0"
"A29","0"
"A31","0"
"A32","0"
"A33","0"
"A34","0"
"A35","0"
"A36","0"
"A37","1"
"A38","0"
"A39","0"
"A40","0"
"A41","0"
"A42","1"
"A43","0"
"A45","1"
"A46","0"
"A47","1"
"A48","0"
"A49","0"
"A52","0"
"A53","0"
"A54","0"
"A55","0"
"A56","1"
"A57","0"
"A58","0"
"A59","0"
"A60","0"
"A61","0"
"A62","0"
"A64","0"
"A65","0"
"A66","0"
"A67","1"
"A69","1"
"A70","0"
"A71","0"
"A73","1"
"A75","1"
"A76","0"
"A77","0"
"A78","1"
"A80","0"
"A81","0"
"A82","0"
"A84","0"
"A85","0"
"A86","0"
"A87","0"
"A88","1"
"A89","0"
"A91","0"
"A92","0"
"A94","0"
"A95","1"
"A97","0"
"A98","0"
"A100","0"
"A101","0"
"A102","1"
"A103","0"
"A104","0"
"A106","0"
"A107","0"
"A108","0"
"A109","0"
"A110","0"
"A111","0"
"A113","0"
"A114","0"
"A115","0"
"A116","0"
"A117","0"
"A119","0"
"A120","0"
"A121","0"
"A122","0"
"A124","0"
"A125","0"
"A126","0"
"A127","0"
"A129","0"
"A130","0"
"A132","0"
"A133","0"
"A134","0"
"A135","0"
"A136","0"
"A138","0"
"A139","0"
"A140","0"
"A142","1"
"A143","0"
"A144","0"
"A145","1"
"A146","0"
"A147","0"
"A148","0"
"A149","1"
"A150","0"
"A151","0"
"A152","1"
"A153","0"
"A154","0"
"A155","1"
"A156","0"
"A157","0"
"A159","0"
"A160","0"
"A161","0"
"A162","0"
"A163","0"
"A164","1"
"A165","1"
"A166","0"
"A167","1"
"A168","0"
"A169","0"
"A170","0"
"A171","0"
"A172","1"
"A173","1"
"A175","0"
"A176","0"
"A178","0"
"A179","0"
"A180","1"
"A183","0"
"A184","0"
"A185","0"
"A186","0"
"A187","0"
"A188","0"
"A189","1"
"A190","0"
"A192","0"
"A193","1"
"A194","0"
"A195","0"
"A196","1"
"A197","0"
"A198","0"
"A199","0"
"A200","0"
"A201","0"
"A204","0"
"A205","0"
"A206","0"
"A207","0"
"A208","0"
"A209","0"
"A210","0"
"A212","0"
"A213","0"
"A214","0"
"A215","0"
"A216","0"
"A217","0"
"A218","1"
"A219","0"
"A220","1"
"A221","0"
"A223","0"
"A224","0"
"A228","0"
"A229","0"
"A230","0"
"A231","0"
"A232","1"
"A233","0"
"A235","0"
"A237","1"
"A238","0"
"A239","0"
"A240","0"
"A241","0"
"A242","0"
"A243","1"
"A245","0"
"A247","1"
"A249","1"
"A250","0"
"A251","0"
"A252","0"
"A254","0"
"A255","1"
"A257","0"
"A258","1"
"A259","1"
"A260","0"
"A264","0"
"A265","0"
"A266","1"
"A267","1"
"A268","0"
"A269","0"
"A270","0"
"A272","0"
"A273","0"
"A274","0"
"A276","0"
"A277","1"
"A278","0"
"A279","1"
"A280","0"
"A281","0"
"A283","0"
"A284","0"
"A285","0"
"A287","0"
"A288","0"
"A289","1"
"A290","0"
"A291","0"
"A292","0"
"A294","0"
"A295","0"
"A297","1"
"A298","0"
"A300","1"
"A301","1"
"A302","0"
"A304","1"
"A305","0"
"A308","0"
"A309","0"
"A310","0"
"A311","0"
"A312","1"
"A313","0"
"A314","0"
"A315","0"
"A316","0"
"A317","0"
"A318","0"
"A319","0"
"A320","1"
"A321","0"
"A323","0"
"A324","0"
"A325","0"
"A326","0"
"A327","1"
"A328","0"
"A329","0"
"A331","0"
"A332","0"
"A333","0"
"A336","0"
"A337","1"
"A338","1"
"A339","0"
"A340","0"
"A341","1"
"A342","0"
"A344","0"
"A347","0"
"A348","1"
"A350","0"
"A351","0"
"A352","1"
"A353","0"
"A354","0"
"A355","0"
"A356","0"
"A357","0"
"A358","0"
"A359","1"
"A360","1"
"A361","0"
"A362","0"
"A363","0"
"A365","0"
"A366","1"
"A367","1"
"A369","1"
"A370","0"
"A371","0"
"A372","0"
"A373","0"
"A374","0"
"A378","0"
"A380","0"
"A381","0"
"A382","0"
"A383","0"
"A384","0"
"A385","1"
"A386","1"
"A387","0"
"A388","0"
"A389","0"
"A390","0"
"A391","0"
"A392","0"
"A394","0"
"A395","0"
"A396","0"
"A397","0"
"A399","1"
"A400","0"
"A401","0"
"A402","0"
"A403","0"
"A405","0"
"A406","0"
"A409","0"
"A410","0"
"A411","0"
"A412","0"
"A413","0"
"A414","0"
"A415","0"
"A417","0"
"A418","0"
"A419","0"
"A420","0"
"A421","0"
"A422","0"
"A423","0"
"A424","0"
"A426","0"
"A427","0"
"A428","0"
"A429","0"
"A431","0"
"A432","0"
"A433","0"
"A434","0"
"A436","1"
"A437","0"
"A438","0"
"A439","0"
"A440","0"
"A441","0"
"A442","0"
"A443","0"
"A445","0"
"A446","0"
"A447","0"
"A449","1"
"A450","0"
"A453","0"
"A454","0"
"A455","0"
"A456","1"
"A458","0"
"A459","1"
"A461","0"
"A462","0"
"A463","0"
"A464","0"
"A465","0"
"A466","0"
"A467","0"
"A468","0"
"A469","0"
"A470","1"
"A471","0"
"A472","0"
"A473","1"
"A474","0"
"A475","0"
"A476","0"
"A477","0"
"A478","1"
"A479","0"
"A480","0"
"A481","0"
"A482","0"
"A483","1"
"A485","1"
"A486","0"
"A487","1"
"A488","0"
"A489","0"
"A491","0"
"A492","0"
"A495","0"
"A496","1"
"A497","0"
"A498","0"
"A499","0"
"A501","1"
"A503","0"
"A504","0"
"A505","1"
"A506","0"
"A507","0"
"A508","0"
"A509","0"
"A510","0"
"A511","1"
"A512","0"
"A513","0"
"A514","1"
"A515","0"
"A517","0"
"A519","0"
"A520","0"
"A521","0"
"A522","0"
"A523","0"
"A524","0"
"A525","0"
"A526","0"
"A527","0"
"A528","0"
"A529","0"
"A531","1"
"A532","0"
"A533","0"
"A535","1"
"A537","1"
"A539","1"
"A540","0"
"A541","1"
"A542","1"
"A547","0"
"A548","0"
"A549","0"
"A550","1"
"A551","0"
"A553","0"
"A554","0"
"A556","0"
"A557","0"
"A558","0"
"A560","0"
"A561","0"
"A562","1"
"A563","1"
"A564","1"
"A565","1"
"A566","0"
"A567","0"
"A569","0"
"A570","1"
"A571","0"
"A572","0"
"A573","0"
"A574","1"
"A575","1"
"A576","0"
"A577","0"
"A578","0"
"A579","1"
"A580","0"
"A581","0"
"A582","0"
"A585","1"
"A586","0"
"A587","1"
"A588","0"
"A590","0"
"A591","1"
"A592","0"
"A594","1"
"A596","0"
"A597","0"
"A599","0"
"A600","0"
"A601","0"
"A602","1"
"A603","1"
"A606","0"
"A608","0"
"A610","0"
"A611","0"
"A612","0"
"A613","0"
"A615","1"
"A618","0"
"A619","0"
"A620","1"
"A621","1"
"A622","0"
"A623","0"
"A626","0"
"A627","0"
"A628","0"
"A630","0"
"A631","0"
"A634","0"
"A635","1"
"A636","0"
"A637","0"
"A638","0"
"A641","0"
"A642","0"
"A643","0"
"A645","1"
"A647","0"
"A649","0"
"A650","0"
"A651","0"
"A652","0"
"A653","0"
"A655","0"
"A658","0"
"A659","0"
"A660","0"
"A662","0"
"A663","0"
"A664","0"
"A665","1"
"A666","0"
"A667","0"
"A668","0"
"A669","0"
"A671","0"
"A673","0"
"A674","1"
"A675","1"
"A676","0"
"A677","0"
"A678","0"
"A679","0"
"A680","0"
"A681","0"
"A682","0"
"A683","1"
"A684","0"
"A686","0"
"A687","0"
"A688","0"
"A689","1"
"A690","0"
"A691","0"
"A692","0"
"A693","0"
"A694","1"
"A695","0"
"A698","0"
"A699","0"
"A700","1"
"A701","0"
"A702","0"
"A704","0"
"A705","0"
"A706","1"
"A707","1"
"A708","0"
"A710","0"
"A711","1"
"A712","0"
"A715","1"
"A716","0"
"A717","1"
"A718","1"
"A720","0"
"A721","0"
"A723","0"
"A724","0"
"A726","0"
"A727","0"
"A728","0"
"A729","0"
"A730","1"
"A731","0"
"A732","0"
"A733","0"
"A734","0"
"A736","0"
"A738","0"
"A739","0"
"A740","1"
"A741","0"
"A742","0"
"A743","0"
"A746","0"
"A747","0"
"A748","0"
"A749","0"
"A750","0"
"A751","0"
"A752","1"
"A754","0"
"A758","0"
"A759","1"
"A760","0"
"A761","0"
"A762","0"
"A763","0"
"A764","0"
"A765","0"
"A766","0"
"A767","0"
"A768","1"
"A769","0"
"A770","1"
"A771","0"
"A772","0"
"A773","0"
"A774","0"
"A775","0"
"A776","0"
"A777","0"
"A778","1"
"A780","0"
"A781","0"
"A783","0"
"A786","0"
"A787","0"
"A788","0"
"A789","1"
"A791","0"
"A792","1"
"A793","1"
"A794","0"
"A795","0"
"A796","0"
"A797","0"
"A799","0"
"A801","1"
"A802","0"
"A803","0"
"A804","0"
"A805","0"
"A806","0"
"A807","0"
"A808","0"
"A809","0"
"A810","0"
"A811","0"
"A813","1"
"A814","1"
"A815","0"
"A816","0"
"A817","1"
"A818","1"
"A819","0"
"A822","0"
"A823","0"
"A824","1"
"A826","0"
"A827","0"
"A828","0"
"A829","0"
"A830","0"
"A831","0"
"A832","1"
"A833","0"
"A835","0"
"A836","1"
"A837","0"
"A838","1"
"A840","0"
"A841","1"
"A842","0"
"A843","0"
"A844","0"
"A846","0"
"A847","0"
"A848","0"
"A852","0"
"A853","1"
"A854","0"
"A855","0"
"A858","0"
"A859","0"
"A861","1"
"A862","0"
"A863","1"
"A864","0"
"A867","0"
"A868","1"
"A869","0"
"A870","1"
"A872","1"
"A873","1"
"A874","1"
"A875","1"
"A876","0"
"A877","0"
"A878","0"
"A879","0"
"A880","1"
"A881","0"
"A882","0"
"A883","0"
"A885","0"
"A887","0"
"A888","0"
"A889","0"
"A890","0"
"A891","0"
"A892","0"
"A893","0"
"A894","0"
"A896","0"
"A897","0"
"A898","0"
"A899","0"
"A900","0"
"A901","0"
"A902","0"
"A904","0"
"A905","1"
"A906","0"
"A908","0"
"A909","0"
"A910","0"
"A911","1"
"A912","1"
"A913","1"
"A916","0"
"A917","0"
"A919","1"
"A920","1"
"A921","0"
"A922","1"
"A923","0"
"A924","0"
"A925","0"
"A926","0"
"A927","0"
"A929","1"
"A930","0"
"A932","0"
"A933","0"
"A935","0"
"A936","0"
"A937","0"
"A938","0"
"A939","0"
"A940","0"
"A942","0"
"A943","1"
"A944","0"
"A945","0"
"A948","0"
"A949","1"
"A950","0"
"A951","0"
"A952","1"
"A953","0"
"A955","0"
"A956","0"
"A958","0"
"A961","1"
"A962","0"
"A963","0"
"A964","0"
"A965","1"
"A966","0"
"A967","0"
"A969","0"
"A971","0"
"A973","1"
"A975","0"
"A976","0"
"A977","0"
"A978","0"
"A979","0"
"A980","0"
"A981","0"
"A982","1"
"A983","0"
"A985","0"
"A987","0"
"A988","0"
"A989","0"
"A990","0"
"A992","1"
"A994","1"
"A995","1"
"A996","0"
"A997","0"
"A998","0"
"A999","0"
"A1000","1"
"A1001","1"
"A1002","1"
"A1003","0"
"A1004","0"
"A1005","0"
"A1006","0"
"A1007","0"
"A1008","0"
"A1009","0"
"A1010","0"
"A1011","0"
"A1012","0"
"A1013","0"
"A1014","0"
"A1015","0"
"A1017","1"
"A1018","0"
"A1020","1"
"A1021","0"
"A1022","1"
"A1024","1"
"A1025","0"
"A1026","0"
"A1028","0"
"A1029","0"
"A1031","0"
"A1033","0"
"A1035","0"
"A1036","0"
"A1037","0"
"A1038","0"
"A1039","1"
"A1040","0"
"A1042","0"
"A1044","0"
"A1045","0"
"A1047","1"
"A1050","0"
"A1052","0"
"A1053","0"
"A1054","0"
"A1055","0"
"A1056","0"
"A1058","0"
"A1059","0"
"A1060","0"
"A1062","0"
"A1063","1"
"A1064","1"
"A1065","0"
"A1066","1"
"A1067","1"
"A1068","0"
"A1069","0"
"A1071","0"
"A1072","1"
"A1073","0"
"A1074","0"
"A1075","0"
"A1076","0"
"A1077","0"
"A1078","1"
"A1079","0"
"A1080","1"
"A1081","0"
"A1082","0"
"A1083","0"
"A1084","0"
"A1086","0"
"A1087","1"
"A1088","0"
"A1089","0"
"A1090","0"
"A1091","1"
"A1092","0"
"A1095","0"
"A1096","0"
"A1097","0"
"A1098","0"
"A1099","0"
"A1100","0"
"A1101","0"
"A1102","0"
"A1103","0"
"A1104","1"
"A1106","0"
"A1107","0"
"A1108","0"
"A1109","0"
"A1110","0"
"A1111","0"
"A1112","0"
"A1113","0"
"A1114","0"
"A1115","0"
"A1116","1"
"A1117","0"
"A1118","1"
"A1119","0"
"A1120","0"
"A1121","1"
"A1122","1"
"A1123","1"
"A1124","1"
"A1126","1"
"A1127","0"
"A1128","0"
"A1129","1"
"A1130","0"
"A1131","0"
"A1132","0"
"A1134","0"
"A1135","0"
"A1136","0"
"A1137","0"
"A1138","0"
"A1139","1"
"A1140","0"
"A1141","1"
"A1142","0"
"A1143","0"
"A1144","0"
"A1146","0"
"A1147","0"
"A1148","0"
"A1149","0"
"A1150","0"
"A1151","0"
"A1152","0"
"A1153","0"
"A1154","0"
"A1155","0"
"A1156","0"
"A1157","0"
"A1158","0"
"A1159","1"
"A1161","1"
"A1162","0"
"A1163","0"
"A1164","0"
"A1165","0"
"A1166","0"
"A1168","0"
"A1169","0"
"A1170","0"
"A1171","0"
"A1172","0"
"A1173","0"
"A1174","0"
"A1175","1"
"A1176","1"
"A1177","0"
"A1178","0"
"A1179","0"
"A1180","0"
"A1181","0"
"A1182","0"
"A1183","0"
"A1184","1"
"A1186","1"
"A1187","0"
"A1188","1"
"A1190","0"
"A1191","0"
"A1192","1"
"A1194","0"
"A1195","0"
"A1196","1"
"A1197","0"
"A1199","0"
"A1200","1"
"A1201","0"
"A1202","0"
"A1204","0"
"A1205","0"
"A1206","0"
"A1207","0"
"A1208","0"
"A1209","1"
"A1212","1"
"A1213","0"
"A1214","0"
"A1217","1"
"A1218","1"
"A1219","0"
"A1220","0"
"A1221","1"
"A1222","0"
"A1223","0"
"A1224","0"
"A1225","1"
"A1226","0"
"A1227","0"
"A1228","0"
"A1229","1"
"A1231","0"
"A1232","1"
"A1233","0"
"A1234","1"
"A1235","0"
"A1237","0"
"A1238","0"
"A1239","0"
"A1240","1"
"A1241","0"
"A1242","0"
"A1243","0"
"A1244","0"
"A1245","0"
"A1246","0"
"A1251","0"
"A1253","0"
"A1254","0"
"A1256","0"
"A1258","0"
"A1259","0"
"A1260","1"
"A1261","0"
"A1262","0"
"A1263","0"
"A1264","0"
"A1265","0"
"A1266","0"
"A1267","0"
"A1268","1"
"A1271","0"
"A1273","1"
"A1274","0"
"A1275","1"
"A1277","1"
"A1279","0"
"A1280","0"
"A1281","0"
"A1282","0"
"A1283","0"
"A1284","0"
"A1286","0"
"A1287","0"
"A1288","0"
"A1289","1"
"A1290","0"
"A1291","1"
"A1292","1"
"A1295","0"
"A1296","0"
"A1297","0"
"A1299","0"
"A1300","1"
"A1302","0"
"A1303","0"
"A1304","1"
"A1305","0"
"A1306","0"
"A1307","0"
"A1308","0"
"A1309","1"
"A1311","0"
"A1312","0"
